address,CSMA-2.25-0.0-lost,CSMA-2.25-0.0-received,DSME-2.25-0.0-lost,DSME-2.25-0.0-received
2,0.0,100.0,2.0,98.0
3,0.0,100.0,3.0,97.0
4,0.0,100.0,5.0,95.0
5,1.0,99.0,0.0,100.0
6,0.0,100.0,8.0,92.0
7,0.0,100.0,4.0,96.0
8,0.0,100.0,0.0,100.0
9,0.0,100.0,5.0,95.0
10,0.0,100.0,6.0,94.0
11,0.0,100.0,12.0,88.0
12,0.0,100.0,2.0,98.0
13,0.0,100.0,0.0,100.0
14,0.0,100.0,0.0,100.0
15,0.0,100.0,0.0,100.0
16,0.0,100.0,5.0,95.0
17,1.0,99.0,9.0,91.0
18,0.0,100.0,9.0,91.0
19,1.0,99.0,4.0,96.0
20,0.0,100.0,2.0,98.0
21,1.0,99.0,2.0,98.0
22,1.0,99.0,20.0,80.0
23,1.0,99.0,5.0,95.0
24,0.0,100.0,14.0,86.0
25,1.0,99.0,19.0,81.0
26,1.0,99.0,5.0,95.0
27,1.0,99.0,2.0,98.0
28,0.0,100.0,0.0,100.0
29,0.0,100.0,0.0,100.0
30,0.0,100.0,1.0,99.0
31,1.0,99.0,7.0,93.0
32,1.0,99.0,8.0,92.0
33,1.0,99.0,14.0,86.0
34,1.0,99.0,2.0,98.0
35,1.0,99.0,9.0,91.0
36,1.0,99.0,4.0,96.0
37,1.0,99.0,4.0,96.0
38,0.0,100.0,4.0,96.0
39,0.0,100.0,2.0,98.0
40,0.0,100.0,2.0,98.0
41,0.0,100.0,8.0,92.0
42,2.0,98.0,3.0,97.0
43,0.0,100.0,18.0,82.0
44,1.0,99.0,12.0,88.0
45,2.0,98.0,20.0,80.0
46,2.0,98.0,5.0,95.0
47,0.0,100.0,7.0,93.0
48,0.0,100.0,1.0,99.0
49,2.0,98.0,0.0,100.0
50,0.0,100.0,0.0,100.0
51,1.0,99.0,1.0,99.0
52,0.0,100.0,0.0,100.0
53,3.0,97.0,11.0,89.0
54,0.0,100.0,5.0,95.0
55,0.0,100.0,7.0,93.0
56,0.0,100.0,16.0,84.0
57,0.0,100.0,3.0,97.0
58,1.0,99.0,8.0,92.0
59,0.0,100.0,3.0,97.0
60,0.0,100.0,3.0,97.0
61,0.0,100.0,3.0,97.0
62,0.0,100.0,1.0,99.0
