address,CSMA-1.1-0.0-lost,CSMA-1.1-0.0-received,DSME-1.1-0.0-lost,DSME-1.1-0.0-received
2,0.0,100.0,3.0,97.0
3,0.0,100.0,11.0,89.0
4,0.0,100.0,8.0,92.0
5,2.0,98.0,2.0,98.0
6,0.0,100.0,10.0,90.0
7,0.0,100.0,2.0,98.0
8,3.0,97.0,3.0,97.0
9,3.0,97.0,2.0,98.0
10,2.0,98.0,6.0,94.0
11,0.0,100.0,8.0,92.0
12,2.0,98.0,9.0,91.0
13,2.0,98.0,10.0,90.0
14,2.0,98.0,1.0,99.0
15,3.0,97.0,2.0,98.0
16,2.0,98.0,6.0,94.0
17,2.0,98.0,2.0,98.0
18,0.0,100.0,1.0,99.0
19,4.0,96.0,5.0,95.0
20,2.0,98.0,5.0,95.0
21,3.0,97.0,0.0,100.0
22,3.0,97.0,10.0,90.0
23,2.0,98.0,4.0,96.0
24,3.0,97.0,1.0,99.0
25,3.0,97.0,7.0,93.0
26,2.0,98.0,3.0,97.0
27,2.0,98.0,4.0,96.0
28,3.0,97.0,3.0,97.0
29,0.0,100.0,0.0,100.0
30,3.0,97.0,6.0,94.0
31,3.0,97.0,13.0,87.0
32,1.0,99.0,8.0,92.0
33,2.0,98.0,8.0,92.0
34,0.0,100.0,3.0,97.0
35,3.0,97.0,2.0,98.0
36,0.0,100.0,8.0,92.0
37,1.0,99.0,0.0,100.0
38,5.0,95.0,4.0,96.0
39,1.0,99.0,3.0,97.0
40,2.0,98.0,2.0,98.0
41,3.0,97.0,11.0,89.0
42,2.0,98.0,2.0,98.0
43,2.0,98.0,3.0,97.0
44,3.0,97.0,2.0,98.0
45,5.0,95.0,5.0,95.0
46,3.0,97.0,4.0,96.0
47,0.0,100.0,9.0,91.0
48,3.0,97.0,11.0,89.0
49,2.0,98.0,7.0,93.0
50,1.0,99.0,1.0,99.0
51,4.0,96.0,2.0,98.0
52,1.0,99.0,3.0,97.0
53,2.0,98.0,12.0,88.0
54,2.0,98.0,6.0,94.0
55,3.0,97.0,5.0,95.0
56,2.0,98.0,10.0,90.0
57,2.0,98.0,0.0,100.0
58,3.0,97.0,3.0,97.0
59,3.0,97.0,3.0,97.0
60,2.0,98.0,3.0,97.0
61,1.0,99.0,4.0,96.0
62,1.0,99.0,3.0,97.0
