address,CSMA-2.0-0.0-lost,CSMA-2.0-0.0-received,DSME-2.0-0.0-lost,DSME-2.0-0.0-received
2,2.0,98.0,0.0,100.0
3,1.0,99.0,0.0,100.0
4,0.0,100.0,0.0,100.0
5,1.0,99.0,0.0,100.0
6,0.0,100.0,0.0,100.0
7,0.0,100.0,0.0,100.0
8,1.0,99.0,0.0,100.0
9,2.0,98.0,0.0,100.0
10,1.0,99.0,0.0,100.0
11,1.0,99.0,0.0,100.0
12,3.0,97.0,0.0,100.0
13,0.0,100.0,0.0,100.0
14,0.0,100.0,0.0,100.0
15,1.0,99.0,0.0,100.0
16,2.0,98.0,0.0,100.0
17,3.0,97.0,0.0,100.0
18,1.0,99.0,0.0,100.0
19,1.0,99.0,0.0,100.0
20,2.0,98.0,0.0,100.0
21,6.0,94.0,0.0,100.0
22,1.0,99.0,0.0,100.0
23,0.0,100.0,0.0,100.0
24,4.0,96.0,0.0,100.0
25,0.0,100.0,0.0,100.0
26,1.0,99.0,0.0,100.0
27,1.0,99.0,0.0,100.0
28,3.0,97.0,0.0,100.0
29,1.0,99.0,0.0,100.0
30,2.0,98.0,0.0,100.0
31,4.0,96.0,0.0,100.0
32,0.0,100.0,0.0,100.0
33,3.0,97.0,0.0,100.0
34,1.0,99.0,0.0,100.0
35,2.0,98.0,0.0,100.0
36,3.0,97.0,0.0,100.0
37,3.0,97.0,0.0,100.0
38,3.0,97.0,0.0,100.0
39,0.0,100.0,0.0,100.0
40,3.0,97.0,0.0,100.0
41,4.0,96.0,0.0,100.0
42,2.0,98.0,0.0,100.0
43,2.0,98.0,0.0,100.0
44,3.0,97.0,0.0,100.0
45,3.0,97.0,0.0,100.0
46,1.0,99.0,0.0,100.0
47,2.0,98.0,0.0,100.0
48,3.0,97.0,0.0,100.0
49,0.0,100.0,0.0,100.0
50,0.0,100.0,0.0,100.0
51,2.0,98.0,0.0,100.0
52,5.0,95.0,0.0,100.0
53,3.0,97.0,0.0,100.0
54,0.0,100.0,0.0,100.0
55,1.0,99.0,0.0,100.0
56,3.0,97.0,0.0,100.0
57,4.0,96.0,0.0,100.0
58,0.0,100.0,0.0,100.0
59,1.0,99.0,0.0,100.0
60,4.0,96.0,0.0,100.0
61,3.0,97.0,0.0,100.0
62,1.0,99.0,0.0,100.0
